Time (s)	Temperature_0	Temperature_1	Temperature_2	Pyranometer (mV)
3.581	25.438	28.115	25.220	0.000
5.581	25.453	28.120	25.214	0.000
7.579	25.459	28.132	25.213	0.000
8.579	25.472	28.129	25.227	0.000
9.579	25.483	28.142	25.224	0.000
10.579	25.494	28.134	25.214	0.000
11.579	25.489	28.144	25.216	0.000
12.579	25.510	28.146	25.216	0.000
13.580	25.508	28.141	25.216	0.000
14.580	25.519	28.157	25.201	0.000
16.580	25.525	28.149	25.206	0.000
18.579	25.547	28.149	25.217	0.000
19.581	25.545	28.173	25.213	0.000
21.580	25.561	28.157	25.220	0.000
23.580	25.567	28.169	25.217	0.000
24.580	25.584	28.172	25.211	0.000
26.579	25.598	28.163	25.218	1.000
27.580	25.606	28.170	25.216	1.000
28.580	25.612	28.165	25.220	1.000
30.580	25.646	28.161	25.230	1.000
32.580	25.673	28.173	25.223	1.000
34.580	25.728	28.186	25.221	1.000
35.580	25.750	28.192	25.214	1.000
37.579	25.797	28.201	25.221	1.000
38.579	25.821	28.201	25.238	1.000
39.579	25.857	28.207	25.224	1.000
40.579	25.899	28.224	25.227	1.000
41.579	25.917	28.227	25.239	1.000
42.579	25.972	28.240	25.224	1.000
43.579	25.981	28.243	25.235	1.000
44.579	26.048	28.240	25.247	1.000
45.579	26.086	28.262	25.247	1.000
46.579	26.114	28.286	25.241	1.000
47.579	26.160	28.277	25.235	1.000
48.579	26.203	28.301	25.255	1.000
49.579	26.251	28.300	25.254	1.000
50.579	26.304	28.316	25.254	1.000
51.579	26.348	28.331	25.247	1.000
52.579	26.391	28.344	25.268	1.000
53.579	26.449	28.350	25.261	1.000
54.580	26.506	28.382	25.267	1.000
55.580	26.542	28.386	25.268	1.000
56.580	26.594	28.399	25.258	1.000
57.580	26.662	28.417	25.280	1.000
58.580	26.713	28.438	25.269	1.000
60.580	26.817	28.462	25.270	1.000
61.580	26.883	28.485	25.270	1.000
62.580	26.938	28.503	25.286	1.000
63.580	26.987	28.509	25.278	1.000
64.580	27.045	28.533	25.299	1.000
65.580	27.102	28.552	25.276	1.000
67.580	27.215	28.573	25.283	1.000
69.578	27.344	28.610	25.299	1.000
70.578	27.377	28.631	25.302	1.000
71.579	27.463	28.646	25.311	1.000
72.579	27.522	28.646	25.301	1.000
73.579	27.592	28.672	25.306	1.000
74.579	27.670	28.677	25.307	1.000
75.579	27.712	28.692	25.325	1.000
76.579	27.764	28.702	25.323	1.000
77.579	27.837	28.723	25.321	1.000
78.579	27.889	28.757	25.329	1.000
79.579	27.954	28.758	25.327	1.000
80.579	28.022	28.776	25.327	1.000
81.579	28.080	28.782	25.325	1.000
82.579	28.158	28.799	25.322	1.000
83.579	28.217	28.823	25.336	1.000
84.579	28.272	28.831	25.330	1.000
85.579	28.349	28.844	25.344	1.000
87.579	28.464	28.871	25.352	1.000
88.579	28.533	28.879	25.348	1.000
89.580	28.597	28.898	25.348	1.000
90.580	28.657	28.907	25.370	1.000
92.580	28.782	28.940	25.361	1.000
93.580	28.855	28.941	25.373	1.000
95.580	28.979	28.985	25.374	1.000
97.580	29.102	28.989	25.387	1.000
98.580	29.181	29.021	25.380	1.000
100.578	29.301	29.042	25.392	1.000
101.578	29.365	29.056	25.396	1.000
102.578	29.420	29.063	25.408	1.000
103.578	29.484	29.091	25.394	1.000
104.578	29.547	29.089	25.411	1.000
105.578	29.612	29.103	25.412	1.000
106.579	29.688	29.109	25.431	1.000
107.579	29.747	29.131	25.432	1.000
108.579	29.802	29.141	25.420	1.000
109.579	29.860	29.141	25.428	1.000
110.579	29.933	29.168	25.436	1.000
111.579	29.999	29.173	25.444	1.000
112.579	30.064	29.177	25.456	1.000
113.579	30.130	29.200	25.449	1.000
114.580	30.184	29.211	25.458	1.000
116.579	30.321	29.236	25.469	1.000
117.579	30.384	29.245	25.464	1.000
118.579	30.441	29.260	25.465	1.000
120.579	30.558	29.282	25.488	1.000
121.579	30.610	29.295	25.491	1.000
122.579	30.679	29.314	25.474	1.000
123.579	30.726	29.303	25.487	1.000
124.580	30.798	29.319	25.497	1.000
125.580	30.872	29.327	25.504	1.000
126.580	30.907	29.351	25.502	1.000
127.580	30.978	29.361	25.501	1.000
128.580	31.053	29.374	25.517	1.000
130.580	31.162	29.404	25.520	1.000
131.580	31.218	29.405	25.516	1.000
133.578	31.338	29.433	25.527	1.000
134.579	31.419	29.451	25.543	1.000
136.578	31.513	29.462	25.547	1.000
137.578	31.582	29.475	25.561	1.000
138.578	31.650	29.490	25.548	1.000
139.579	31.688	29.500	25.556	1.000
141.579	31.819	29.515	25.572	1.000
142.579	31.881	29.536	25.586	1.000
143.579	31.929	29.532	25.577	1.000
144.580	31.995	29.559	25.571	1.000
146.579	32.104	29.570	25.587	1.000
147.579	32.175	29.577	25.609	1.000
148.579	32.224	29.586	25.601	1.000
149.579	32.273	29.614	25.619	1.000
150.579	32.341	29.612	25.611	1.000
151.579	32.407	29.639	25.629	1.000
152.579	32.450	29.626	25.621	1.000
153.579	32.516	29.642	25.633	1.000
155.579	32.636	29.672	25.643	1.000
156.579	32.675	29.680	25.645	1.000
157.579	32.723	29.693	25.665	1.000
159.580	32.845	29.700	25.669	1.000
160.580	32.901	29.719	25.674	1.000
161.580	32.948	29.725	25.673	1.000
162.580	32.993	29.740	25.669	1.000
164.579	33.114	29.763	25.700	1.000
166.579	33.233	29.774	25.696	1.000
168.579	33.326	29.786	25.713	1.000
169.579	33.393	29.807	25.711	1.000
170.579	33.447	29.808	25.710	1.000
171.579	33.480	29.823	25.730	1.000
173.579	33.600	29.843	25.731	1.000
175.578	33.703	29.854	25.756	1.000
176.580	33.747	29.859	25.758	1.000
178.579	33.859	29.886	25.776	1.000
179.579	33.907	29.898	25.771	1.000
181.579	34.002	29.915	25.787	1.000
182.579	34.064	29.928	25.784	1.000
183.579	34.121	29.940	25.798	1.000
185.579	34.224	29.945	25.817	1.000
186.579	34.263	29.975	25.806	1.000
187.579	34.320	29.983	25.814	1.000
188.579	34.375	29.979	25.811	1.000
190.578	34.470	29.990	25.820	1.000
191.579	34.511	30.011	25.824	1.000
192.579	34.584	30.026	25.842	1.000
193.579	34.603	30.015	25.853	1.000
194.580	34.653	30.038	25.850	1.000
196.578	34.780	30.060	25.864	1.000
197.578	34.814	30.042	25.861	1.000
198.578	34.861	30.077	25.882	1.000
199.578	34.913	30.074	25.887	1.000
200.579	34.961	30.089	25.872	1.000
202.578	35.058	30.118	25.898	1.000
203.579	35.093	30.115	25.899	1.000
204.579	35.150	30.129	25.906	1.000
205.579	35.187	30.149	25.905	1.000
206.579	35.231	30.151	25.912	1.000
208.579	35.333	30.161	25.935	1.000
210.578	35.420	30.175	25.946	1.000
211.579	35.469	30.196	25.943	1.000
212.579	35.516	30.199	25.956	1.000
213.579	35.555	30.205	25.956	1.000
214.579	35.605	30.224	25.961	1.000
216.579	35.695	30.234	25.974	1.000
217.579	35.756	30.238	25.974	1.000
218.579	35.796	30.251	25.996	1.000
219.579	35.827	30.265	25.987	1.000
220.579	35.867	30.268	25.995	1.000
221.579	35.923	30.297	26.011	1.000
222.579	35.968	30.286	25.997	1.000
223.579	36.014	30.298	25.992	1.000
225.579	36.092	30.295	26.025	1.000
226.579	36.147	30.318	26.029	1.000
227.579	36.182	30.320	26.023	1.000
229.578	36.272	30.329	26.030	1.000
230.579	36.318	30.352	26.057	1.000
232.579	36.397	30.370	26.056	1.000
234.579	36.496	30.385	26.055	1.000
235.579	36.520	30.394	26.078	1.000
236.579	36.568	30.396	26.085	1.000
238.578	36.654	30.421	26.091	1.000
239.579	36.681	30.417	26.095	1.000
241.578	36.762	30.434	26.093	1.000
242.578	36.806	30.442	26.098	1.000
243.578	36.859	30.459	26.123	1.000
244.578	36.881	30.453	26.123	1.000
245.578	36.915	30.455	26.121	1.000
246.578	36.966	30.470	26.139	1.000
247.579	36.997	30.485	26.132	1.000
248.579	37.042	30.488	26.126	1.000
249.579	37.089	30.497	26.134	1.000
250.579	37.123	30.508	26.140	1.000
251.579	37.153	30.517	26.160	1.000
252.579	37.198	30.513	26.173	1.000
253.579	37.226	30.523	26.172	1.000
254.579	37.266	30.537	26.183	1.000
255.579	37.310	30.538	26.181	1.000
257.579	37.369	30.550	26.183	1.000
259.578	37.456	30.560	26.185	1.000
260.578	37.485	30.562	26.210	1.000
262.577	37.560	30.582	26.224	1.000
263.578	37.596	30.596	26.216	1.000
264.578	37.619	30.596	26.224	1.000
265.578	37.658	30.606	26.225	1.000
266.578	37.695	30.613	26.217	1.000
267.578	37.737	30.599	26.213	1.000
268.578	37.772	30.629	26.208	1.000
269.579	37.788	30.629	26.208	1.000
270.579	37.836	30.639	26.211	1.000
272.578	37.896	30.647	26.211	1.000
273.579	37.934	30.656	26.215	1.000
275.578	38.005	30.675	26.210	1.000
276.578	38.030	30.677	26.227	1.000
277.578	38.073	30.686	26.219	1.000
278.578	38.100	30.702	26.223	1.000
279.578	38.137	30.713	26.231	1.000
280.578	38.162	30.702	26.224	1.000
281.579	38.194	30.706	26.234	1.000
282.579	38.233	30.716	26.242	1.000
283.579	38.257	30.729	26.231	1.000
285.579	38.323	30.740	26.268	1.000
286.579	38.355	30.741	26.244	1.000
287.579	38.379	30.750	26.259	1.000
288.579	38.413	30.752	26.259	1.000
289.579	38.442	30.759	26.262	1.000
290.579	38.479	30.773	26.276	1.000
291.579	38.506	30.769	26.271	1.000
293.577	38.566	30.784	26.275	1.000
294.578	38.605	30.796	26.286	1.000
296.577	38.665	30.809	26.289	1.000
297.577	38.691	30.810	26.296	1.000
298.577	38.714	30.833	26.291	1.000
299.578	38.748	30.821	26.313	1.000
300.578	38.776	30.836	26.305	1.000
301.578	38.824	30.832	26.305	1.000
302.578	38.838	30.842	26.326	1.000
303.578	38.858	30.850	26.320	1.000
304.578	38.880	30.867	26.328	1.000
305.579	38.917	30.874	26.336	1.000
306.579	38.955	30.875	26.333	1.000
308.578	39.002	30.871	26.348	1.000
310.578	39.071	30.899	26.355	1.000
312.578	39.124	30.899	26.377	1.000
313.578	39.154	30.913	26.369	1.000
314.578	39.178	30.922	26.370	1.000
315.578	39.208	30.927	26.395	1.000
316.579	39.249	30.933	26.382	1.000
317.579	39.263	30.944	26.395	1.000
318.579	39.287	30.948	26.411	1.000
319.579	39.304	30.948	26.407	1.000
321.579	39.363	30.957	26.430	1.000
322.579	39.389	30.975	26.416	1.000
323.579	39.435	30.981	26.432	1.000
325.577	39.488	30.990	26.442	1.000
326.577	39.507	30.993	26.441	1.000
327.577	39.536	31.000	26.456	1.000
328.577	39.561	31.008	26.455	1.000
329.578	39.588	31.009	26.454	1.000
330.578	39.636	31.022	26.476	1.000
331.578	39.634	31.025	26.474	1.000
333.578	39.688	31.040	26.482	1.000
334.579	39.721	31.056	26.468	1.000
335.579	39.738	31.054	26.484	1.000
336.579	39.775	31.067	26.488	1.000
337.579	39.806	31.062	26.506	1.000
338.579	39.820	31.079	26.502	1.000
339.579	39.849	31.080	26.515	1.000
341.577	39.890	31.098	26.511	1.000
342.578	39.942	31.112	26.531	1.000
343.578	39.948	31.117	26.517	1.000
345.577	40.002	31.109	26.539	1.000
346.578	40.025	31.133	26.542	1.000
348.577	40.060	31.140	26.551	1.000
349.578	40.105	31.136	26.562	1.000
351.578	40.146	31.154	26.576	1.000
352.579	40.172	31.163	26.564	1.000
354.579	40.220	31.182	26.597	1.000
355.579	40.247	31.182	26.594	1.000
357.577	40.301	31.190	26.603	1.000
358.577	40.329	31.198	26.595	1.000
359.577	40.341	31.198	26.610	1.000
360.577	40.365	31.222	26.603	1.000
361.577	40.382	31.228	26.602	1.000
362.577	40.423	31.221	26.610	1.000
363.577	40.434	31.233	26.620	1.000
364.577	40.466	31.237	26.632	1.000
365.577	40.489	31.233	26.631	1.000
366.577	40.512	31.238	26.635	1.000
367.577	40.532	31.259	26.636	1.000
368.577	40.559	31.261	26.634	1.000
369.578	40.579	31.260	26.649	1.000
370.578	40.600	31.268	26.650	1.000
371.579	40.634	31.282	26.656	1.000
373.578	40.663	31.286	26.682	1.000
375.577	40.712	31.300	26.667	1.000
376.578	40.748	31.321	26.697	1.000
378.577	40.789	31.314	26.692	1.000
379.577	40.803	31.324	26.690	1.000
380.577	40.830	31.334	26.697	1.000
381.578	40.855	31.348	26.705	1.000
382.578	40.884	31.348	26.710	1.000
383.578	40.900	31.355	26.706	1.000
384.578	40.932	31.342	26.718	1.000
385.578	40.939	31.372	26.736	1.000
386.579	40.970	31.377	26.728	1.000
387.579	40.989	31.391	26.734	1.000
389.577	41.028	31.398	26.753	1.000
390.577	41.052	31.408	26.758	1.000
391.577	41.085	31.409	26.758	1.000
392.577	41.110	31.399	26.765	1.000
393.577	41.116	31.426	26.768	1.000
394.577	41.144	31.432	26.773	1.000
395.577	41.172	31.439	26.777	1.000
396.577	41.176	31.438	26.787	1.000
397.577	41.198	31.440	26.774	1.000
398.577	41.233	31.448	26.788	1.000
399.577	41.251	31.464	26.787	1.000
400.577	41.273	31.464	26.796	1.000
401.577	41.286	31.469	26.800	1.000
402.578	41.313	31.474	26.800	1.000
404.577	41.349	31.497	26.805	1.000
405.577	41.368	31.497	26.822	1.000
406.578	41.408	31.486	26.829	1.000
408.577	41.429	31.504	26.834	1.000
409.578	41.454	31.516	26.834	1.000
410.578	41.468	31.511	26.841	1.000
412.578	41.534	31.526	26.842	1.000
414.578	41.565	31.537	26.853	1.000
415.578	41.584	31.556	26.857	1.000
417.578	41.621	31.557	26.867	1.000
419.578	41.655	31.578	26.882	1.000
421.577	41.697	31.581	26.901	1.000
422.577	41.725	31.575	26.899	1.000
423.577	41.739	31.607	26.892	1.000
424.577	41.762	31.603	26.910	1.000
425.577	41.763	31.611	26.909	1.000
426.577	41.792	31.609	26.919	1.000
427.577	41.824	31.622	26.906	1.000
428.577	41.830	31.627	26.906	1.000
429.577	41.848	31.642	26.927	1.000
430.577	41.874	31.641	26.928	1.000
431.577	41.895	31.634	26.934	1.000
432.577	41.903	31.659	26.939	1.000
433.577	41.935	31.648	26.953	1.000
434.578	41.934	31.651	26.953	1.000
436.577	41.983	31.662	26.954	1.000
437.577	42.000	31.683	26.955	1.000
439.578	42.027	31.691	26.970	1.000
441.578	42.066	31.709	26.999	1.000
442.578	42.094	31.718	26.985	1.000
443.578	42.111	31.715	27.001	1.000
445.578	42.138	31.710	26.997	1.000
447.577	42.197	31.736	27.006	1.000
448.578	42.198	31.741	27.021	1.000
450.577	42.229	31.770	27.020	1.000
451.578	42.260	31.760	27.031	1.000
453.576	42.292	31.770	27.036	1.000
454.576	42.302	31.777	27.046	1.000
455.576	42.317	31.773	27.047	1.000
456.578	42.345	31.787	27.051	1.000
458.577	42.369	31.803	27.067	1.000
459.578	42.392	31.806	27.060	1.000
461.577	42.409	31.799	27.071	1.000
462.578	42.437	31.825	27.078	1.000
464.577	42.480	31.843	27.092	1.000
465.577	42.495	31.842	27.091	1.000
466.577	42.507	31.845	27.090	1.000
467.577	42.515	31.843	27.106	1.000
468.577	42.537	31.842	27.106	1.000
470.577	42.561	31.861	27.120	1.000
471.577	42.588	31.879	27.130	1.000
472.577	42.606	31.872	27.117	1.000
473.577	42.608	31.873	27.111	1.000
474.577	42.619	31.874	27.121	1.000
475.577	42.662	31.894	27.132	1.000
476.578	42.666	31.889	27.129	1.000
478.578	42.678	31.915	27.135	1.000
479.578	42.712	31.912	27.141	1.000
481.578	42.737	31.928	27.150	1.000
482.578	42.745	31.922	27.151	1.000
483.578	42.775	31.935	27.153	1.000
485.577	42.794	31.932	27.156	1.000
487.576	42.834	31.962	27.179	1.000
488.577	42.851	31.968	27.173	1.000
489.577	42.862	31.959	27.172	1.000
491.578	42.883	31.972	27.181	1.000
493.577	42.917	31.986	27.205	1.000
494.577	42.943	31.986	27.200	1.000
495.577	42.935	31.984	27.194	1.000
496.577	42.962	32.008	27.210	1.000
497.577	42.977	32.010	27.203	1.000
498.577	42.997	32.002	27.219	1.000
499.577	43.005	32.021	27.228	1.000
500.577	43.015	32.025	27.231	1.000
501.577	43.038	32.020	27.247	1.000
502.577	43.044	32.040	27.223	1.000
503.577	43.065	32.035	27.236	1.000
505.576	43.085	32.049	27.242	1.000
506.576	43.108	32.054	27.241	1.000
507.577	43.116	32.056	27.256	1.000
508.578	43.128	32.057	27.256	1.000
510.577	43.166	32.067	27.280	1.000
511.578	43.178	32.087	27.262	1.000
512.578	43.188	32.083	27.278	1.000
514.578	43.226	32.085	27.284	1.000
515.578	43.243	32.104	27.279	1.000
517.576	43.265	32.111	27.290	1.000
518.576	43.258	32.125	27.299	1.000
519.577	43.272	32.116	27.307	1.000
521.576	43.301	32.126	27.294	1.000
522.576	43.312	32.138	27.304	1.000
523.576	43.338	32.137	27.319	1.000
524.577	43.338	32.149	27.310	1.000
526.577	43.354	32.160	27.329	1.000
527.577	43.389	32.159	27.333	1.000
528.577	43.391	32.158	27.323	1.000
529.577	43.403	32.177	27.331	1.000
530.577	43.412	32.175	27.332	1.000
531.577	43.436	32.170	27.355	1.000
532.577	43.441	32.177	27.354	1.000
533.577	43.458	32.181	27.346	1.000
534.577	43.458	32.189	27.350	1.000
535.577	43.482	32.199	27.356	1.000
536.577	43.496	32.192	27.355	1.000
537.577	43.515	32.198	27.369	1.000
538.577	43.518	32.210	27.365	1.000
539.577	43.535	32.208	27.371	1.000
540.577	43.554	32.224	27.384	1.000
541.577	43.547	32.232	27.382	1.000
543.578	43.558	32.232	27.390	1.000
545.578	43.591	32.247	27.399	1.000
546.578	43.610	32.245	27.401	1.000
547.578	43.628	32.244	27.418	1.000
548.578	43.623	32.246	27.406	1.000
550.576	43.646	32.273	27.413	1.000
551.577	43.674	32.270	27.412	1.000
553.576	43.687	32.277	27.420	1.000
554.576	43.690	32.289	27.435	1.000
555.577	43.708	32.287	27.421	1.000
557.576	43.722	32.307	27.428	1.000
558.576	43.742	32.302	27.448	1.000
559.576	43.760	32.309	27.436	1.000
560.576	43.754	32.313	27.444	1.000
561.577	43.773	32.316	27.450	1.000
562.577	43.773	32.312	27.456	1.000
563.577	43.787	32.326	27.456	1.000
564.577	43.817	32.332	27.456	1.000
565.577	43.810	32.340	27.471	1.000
566.577	43.835	32.334	27.476	1.000
567.577	43.842	32.352	27.472	1.000
568.577	43.840	32.350	27.471	1.000
569.577	43.863	32.365	27.476	1.000
570.577	43.870	32.361	27.494	1.000
571.577	43.897	32.352	27.487	1.000
572.577	43.896	32.377	27.500	1.000
573.577	43.930	32.386	27.499	1.000
574.577	43.921	32.392	27.497	1.000
576.577	43.944	32.413	27.511	1.000
577.577	43.960	32.411	27.514	1.000
578.577	43.950	32.389	27.514	1.000
579.578	43.969	32.408	27.524	1.000
580.578	43.989	32.420	27.519	1.000
582.576	43.994	32.429	27.547	1.000
583.576	44.021	32.424	27.541	1.000
584.577	44.022	32.436	27.533	1.000
585.577	44.039	32.445	27.545	1.000
587.576	44.058	32.444	27.551	1.000
588.576	44.074	32.459	27.550	1.000
589.576	44.088	32.462	27.555	1.000
590.576	44.095	32.453	27.557	1.000
591.576	44.103	32.476	27.566	1.000
592.576	44.114	32.474	27.565	1.000
593.576	44.115	32.481	27.592	1.000
594.576	44.139	32.493	27.580	1.000
595.576	44.139	32.488	27.589	1.000
596.577	44.157	32.494	27.580	1.000
597.577	44.169	32.489	27.580	1.000
598.577	44.178	32.502	27.593	1.000
600.576	44.188	32.512	27.600	1.000
601.577	44.207	32.513	27.619	1.000
602.577	44.216	32.526	27.604	1.000
603.577	44.226	32.533	27.615	1.000
604.577	44.227	32.536	27.614	1.000
606.576	44.247	32.541	27.611	1.000
607.577	44.265	32.564	27.631	1.000
608.577	44.266	32.559	27.631	1.000
610.577	44.292	32.565	27.636	1.000
612.577	44.307	32.579	27.649	1.000
614.577	44.335	32.579	27.660	1.000
616.576	44.355	32.596	27.673	1.000
617.577	44.363	32.597	27.663	1.000
618.577	44.367	32.605	27.670	1.000
619.577	44.374	32.612	27.676	1.000
620.577	44.381	32.607	27.674	1.000
621.577	44.396	32.618	27.678	1.000
622.577	44.407	32.621	27.673	1.000
623.577	44.421	32.625	27.684	1.000
624.577	44.427	32.623	27.697	1.000
626.577	44.447	32.637	27.693	1.000
628.576	44.462	32.657	27.692	1.000
630.576	44.484	32.660	27.711	1.000
631.577	44.488	32.673	27.708	1.000
633.577	44.501	32.675	27.712	1.000
634.577	44.517	32.676	27.736	1.000
635.577	44.533	32.678	27.723	1.000
636.577	44.533	32.693	27.735	1.000
637.577	44.540	32.702	27.724	1.000
638.577	44.545	32.695	27.726	1.000
639.577	44.553	32.698	27.742	1.000
640.577	44.566	32.710	27.751	1.000
642.577	44.584	32.720	27.740	1.000
643.577	44.596	32.727	27.760	1.000
645.575	44.605	32.745	27.758	1.000
646.575	44.614	32.738	27.768	1.000
647.575	44.625	32.748	27.760	1.000
648.577	44.643	32.754	27.756	1.000
650.576	44.662	32.762	27.788	1.000
651.576	44.665	32.753	27.771	1.000
652.576	44.671	32.755	27.775	1.000
653.577	44.685	32.769	27.775	1.000
654.577	44.675	32.771	27.800	1.000
655.577	44.698	32.788	27.787	1.000
656.577	44.707	32.786	27.799	1.000
657.577	44.713	32.782	27.779	1.000
659.577	44.732	32.787	27.793	1.000
660.577	44.735	32.781	27.795	1.000
662.575	44.748	32.815	27.805	1.000
663.576	44.758	32.807	27.815	1.000
665.576	44.763	32.824	27.820	1.000
666.577	44.785	32.830	27.798	1.000
667.577	44.789	32.819	27.828	1.000
668.577	44.795	32.846	27.826	1.000
669.577	44.802	32.827	27.833	1.000
670.577	44.815	32.831	27.834	1.000
671.577	44.817	32.835	27.828	1.000
672.577	44.817	32.861	27.826	1.000
673.577	44.836	32.853	27.845	1.000
674.577	44.833	32.860	27.836	1.000
675.577	44.843	32.863	27.840	1.000
676.577	44.862	32.860	27.834	1.000
678.575	44.870	32.876	27.860	1.000
679.576	44.873	32.887	27.854	1.000
680.576	44.889	32.898	27.855	1.000
682.575	44.897	32.889	27.864	1.000
683.577	44.917	32.877	27.868	1.000
685.577	44.921	32.898	27.875	1.000
686.577	44.933	32.915	27.892	1.000
687.577	44.931	32.916	27.888	1.000
689.577	44.935	32.921	27.895	1.000
690.577	44.962	32.932	27.885	1.000
692.575	44.982	32.923	27.892	1.000
693.575	44.977	32.935	27.905	1.000
694.576	44.991	32.933	27.904	1.000
695.576	45.005	32.937	27.899	1.000
696.576	45.002	32.956	27.909	1.000
697.576	45.003	32.950	27.910	1.000
698.576	45.021	32.968	27.907	1.000
699.576	45.015	32.966	27.910	1.000
701.576	45.043	32.964	27.919	1.000
702.576	45.043	32.985	27.916	1.000
703.577	45.055	32.975	27.919	1.000
704.577	45.069	32.988	27.920	1.000
706.577	45.079	32.988	27.943	1.000
707.577	45.086	32.990	27.944	1.000
708.577	45.079	33.002	27.939	1.000
710.576	45.099	33.018	27.932	1.000
712.575	45.121	33.017	27.951	1.000
713.575	45.114	33.026	27.958	1.000
714.575	45.132	33.015	27.951	1.000
715.575	45.140	33.026	27.958	1.000
716.575	45.146	33.032	27.968	1.000
717.575	45.143	33.035	27.964	1.000
718.576	45.157	33.038	27.958	1.000
719.576	45.174	33.046	27.971	1.000
720.577	45.175	33.043	27.982	1.000
721.577	45.172	33.062	27.973	1.000
722.577	45.180	33.054	27.987	1.000
724.577	45.199	33.053	27.986	1.000
726.575	45.203	33.064	27.991	1.000
727.576	45.225	33.068	27.997	1.000
729.575	45.229	33.082	27.998	1.000
730.575	45.235	33.091	27.993	1.000
731.576	45.238	33.093	28.011	1.000
733.576	45.255	33.101	28.006	1.000
734.576	45.278	33.112	28.020	1.000
735.576	45.283	33.118	28.029	1.000
736.577	45.282	33.109	28.011	1.000
737.577	45.289	33.109	28.013	1.000
739.577	45.296	33.125	28.020	1.000
741.575	45.319	33.128	28.034	1.000
742.575	45.314	33.129	28.050	1.000
743.575	45.323	33.145	28.036	1.000
744.575	45.339	33.155	28.037	1.000
745.575	45.308	33.198	28.019	1.000
746.575	45.346	33.163	28.050	1.000
747.575	45.338	33.150	28.047	1.000
748.575	45.360	33.145	28.051	1.000
749.575	45.364	33.159	28.055	1.000
750.576	45.353	33.155	28.057	1.000
752.576	45.371	33.166	28.059	1.000
753.576	45.375	33.165	28.066	1.000
754.576	45.383	33.180	28.070	1.000
755.576	45.393	33.180	28.060	1.000
756.576	45.392	33.177	28.077	1.000
757.576	45.400	33.193	28.071	1.000
758.576	45.410	33.179	28.077	1.000
760.576	45.429	33.198	28.078	1.000
762.575	45.436	33.202	28.074	1.000
763.576	45.425	33.207	28.079	1.000
764.576	45.421	33.206	28.088	1.000
766.576	45.447	33.194	28.088	1.000
767.576	45.452	33.215	28.091	1.000
768.576	45.449	33.224	28.093	1.000
769.576	45.457	33.223	28.095	1.000
770.576	45.474	33.225	28.115	1.000
771.577	45.477	33.240	28.113	1.000
772.577	45.477	33.247	28.106	1.000
774.575	45.482	33.250	28.115	1.000
775.575	45.485	33.246	28.099	1.000
776.575	45.507	33.259	28.127	1.000
777.575	45.506	33.257	28.119	1.000
778.575	45.512	33.247	28.125	1.000
779.575	45.510	33.266	28.122	1.000
780.575	45.510	33.257	28.134	1.000
781.575	45.530	33.269	28.138	1.000
782.575	45.532	33.266	28.128	1.000
783.575	45.528	33.279	28.140	1.000
784.575	45.528	33.267	28.140	1.000
785.576	45.550	33.284	28.145	1.000
787.575	45.552	33.299	28.144	1.000
788.576	45.556	33.300	28.152	1.000
790.575	45.575	33.309	28.148	1.000
791.576	45.567	33.303	28.140	1.000
792.576	45.577	33.300	28.164	1.000
793.576	45.587	33.307	28.164	1.000
795.575	45.595	33.317	28.151	1.000
796.575	45.595	33.315	28.164	1.000
797.575	45.598	33.331	28.156	1.000
798.576	45.614	33.320	28.184	1.000
799.576	45.624	33.347	28.178	1.000
801.576	45.616	33.339	28.185	1.000
802.576	45.631	33.349	28.172	1.000
803.576	45.636	33.357	28.172	1.000
804.576	45.648	33.342	28.178	1.000
806.576	45.657	33.369	28.184	1.000
808.575	45.648	33.367	28.208	1.000
809.575	45.671	33.362	28.204	1.000
810.575	45.675	33.382	28.215	1.000
811.575	45.675	33.369	28.202	1.000
812.575	45.685	33.368	28.221	1.000
813.575	45.681	33.392	28.221	1.000
814.575	45.685	33.393	28.218	1.000
815.576	45.710	33.404	28.223	1.000
817.576	45.719	33.402	28.230	1.000
819.575	45.716	33.410	28.232	1.000
820.576	45.724	33.407	28.220	1.000
822.575	45.747	33.414	28.243	1.000
823.576	45.736	33.429	28.247	1.000
824.576	45.759	33.434	28.242	1.000
826.576	45.760	33.430	28.236	1.000
827.576	45.760	33.439	28.251	1.000
829.576	45.773	33.442	28.255	1.000
831.575	45.776	33.453	28.264	1.000
832.576	45.795	33.448	28.277	1.000
833.576	45.795	33.453	28.267	1.000
834.576	45.787	33.466	28.280	1.000
835.576	45.805	33.473	28.278	1.000
837.574	45.822	33.472	28.281	1.000
838.574	45.826	33.481	28.285	1.000
839.574	45.830	33.486	28.284	1.000
840.574	45.835	33.478	28.278	1.000
841.576	45.833	33.488	28.313	1.000
843.575	45.847	33.505	28.304	1.000
844.575	45.853	33.510	28.314	1.000
845.575	45.866	33.508	28.306	1.000
846.575	45.867	33.519	28.316	1.000
847.575	45.852	33.525	28.325	1.000
848.575	45.870	33.534	28.329	1.000
849.575	45.882	33.524	28.327	1.000
850.575	45.886	33.537	28.344	1.000
851.575	45.904	33.549	28.327	1.000
852.575	45.903	33.539	28.356	1.000
853.575	45.898	33.542	28.336	1.000
855.575	45.926	33.563	28.353	1.000
856.575	45.937	33.550	28.365	1.000
858.575	45.944	33.583	28.359	1.000
859.576	45.955	33.577	28.366	1.000
860.576	45.956	33.572	28.372	1.000
861.576	45.955	33.584	28.361	1.000
862.576	45.961	33.590	28.382	1.000
